きのこ香り立つ！クリームスープごはん, 325円（税込350円）
ピリ辛！味噌仕立ての濃厚ちゃんぽん, 445円（税込480円）
香ばし麺の甘辛ホイコーロー焼そば, 462円（税込498円）
鶏スパ（唐揚げ甘醤油パスタ）, 369円（税込398円）
旨味が詰まったボンゴレス－プパスタ, 399円（税込430円）
トマトを食べよう！トマトとチキンのドリア, 426円（税込460円）
緑野菜のベジグラタンほうれん草ブロッコリー, 426円（税込460円）
たっぷりタルタルのチキンバーガー, 276円（税込298円）
もちもちリング（いちご）, 93円（税込100円）
つぶつぶコーンマヨネーズ, 128円（税込138円）
きなこクリームフランス, 110円（税込118円）
ジャージーカフェオレホイップのエクレアパン, 128円（税込138円）
かまくらもこ, 140円（税込151円）
苺ソースのミニかまくら, 275円（税込297円）
あずきを味わうおはぎ, 110円（税込118円）
きのこ香り立つ！クリームスープごはん, 325円（税込350円）
ピリ辛！味噌仕立ての濃厚ちゃんぽん, 445円（税込480円）
香ばし麺の甘辛ホイコーロー焼そば, 462円（税込498円）
鶏スパ（唐揚げ甘醤油パスタ）, 369円（税込398円）
旨味が詰まったボンゴレス－プパスタ, 399円（税込430円）
トマトを食べよう！トマトとチキンのドリア, 426円（税込460円）
緑野菜のベジグラタンほうれん草ブロッコリー, 426円（税込460円）
たっぷりタルタルのチキンバーガー, 276円（税込298円）
もちもちリング（いちご）, 93円（税込100円）
つぶつぶコーンマヨネーズ, 128円（税込138円）
きなこクリームフランス, 110円（税込118円）
ジャージーカフェオレホイップのエクレアパン, 128円（税込138円）
かまくらもこ, 140円（税込151円）
苺ソースのミニかまくら, 275円（税込297円）
あずきを味わうおはぎ, 110円（税込118円）
きのこ香り立つ！クリームスープごはん, 325円（税込350円）
ピリ辛！味噌仕立ての濃厚ちゃんぽん, 445円（税込480円）
香ばし麺の甘辛ホイコーロー焼そば, 462円（税込498円）
鶏スパ（唐揚げ甘醤油パスタ）, 369円（税込398円）
旨味が詰まったボンゴレス－プパスタ, 399円（税込430円）
トマトを食べよう！トマトとチキンのドリア, 426円（税込460円）
緑野菜のベジグラタンほうれん草ブロッコリー, 426円（税込460円）
たっぷりタルタルのチキンバーガー, 276円（税込298円）
もちもちリング（いちご）, 93円（税込100円）
つぶつぶコーンマヨネーズ, 128円（税込138円）
きなこクリームフランス, 110円（税込118円）
ジャージーカフェオレホイップのエクレアパン, 128円（税込138円）
かまくらもこ, 140円（税込151円）
苺ソースのミニかまくら, 275円（税込297円）
あずきを味わうおはぎ, 110円（税込118円）
きのこ香り立つ！クリームスープごはん, 325円（税込350円）
ピリ辛！味噌仕立ての濃厚ちゃんぽん, 445円（税込480円）
香ばし麺の甘辛ホイコーロー焼そば, 462円（税込498円）
鶏スパ（唐揚げ甘醤油パスタ）, 369円（税込398円）
旨味が詰まったボンゴレス－プパスタ, 399円（税込430円）
トマトを食べよう！トマトとチキンのドリア, 426円（税込460円）
緑野菜のベジグラタンほうれん草ブロッコリー, 426円（税込460円）
たっぷりタルタルのチキンバーガー, 276円（税込298円）
もちもちリング（いちご）, 93円（税込100円）
つぶつぶコーンマヨネーズ, 128円（税込138円）
きなこクリームフランス, 110円（税込118円）
ジャージーカフェオレホイップのエクレアパン, 128円（税込138円）
かまくらもこ, 140円（税込151円）
苺ソースのミニかまくら, 275円（税込297円）
あずきを味わうおはぎ, 110円（税込118円）
